11:6:45	INICIO maoni. Escuchando en el puerto: 5555
11:6:46	Request file: /
11:6:47	Request file: /vendors/jquery/dist/jquery.min.js
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
11:6:47	ext: .JS
11:6:47	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js
11:6:47	ext: .JS
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
11:6:47	Request file: /js/sha256.js
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\js\sha256.js
11:6:47	ext: .JS
11:6:47	Request file: /js/toastr.js
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
11:6:47	ext: .JS
11:6:47	Request file: /js/lib.js
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
11:6:47	ext: .JS
11:6:47	Request file: /vendors/bootstrap/dist/css/bootstrap.min.css
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\css\bootstrap.min.css
11:6:47	ext: .CSS
11:6:47	Request file: /css/maoni.css
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\css\maoni.css
11:6:47	ext: .CSS
11:6:47	Request file: /css/signin.css
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\css\signin.css
11:6:47	ext: .CSS
11:6:47	Request file: /css/animate.min.css
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\css\animate.min.css
11:6:47	ext: .CSS
11:6:47	Request file: /css/toastr.css
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
11:6:47	ext: .CSS
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\css\custom.css
11:6:47	Request file: /css/custom.css
11:6:47	ext: .CSS
11:6:47	Request file: /img/logoGo.png
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\img\logoGo.png
11:6:47	ext: .PNG
11:6:47	Request file: /img/fondo.png
11:6:47	filename: c:\projectes\Maoni\Maoni\protected\img\fondo.png
11:6:47	ext: .PNG
11:6:49	Request file: /BBDD
11:6:49	login -> {"f":"login","user":"maoni","pwd":"99390cfd08236787dbe95558846798013dcd060a1d6e6b49ad10a08f30eaf201"}
11:6:50	Request file: /@@MENU@@_page_000.html?SESSIONKEY=74396
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\@@MENU@@_page_000.html
11:6:50	ext: .HTML
11:6:50	Request file: /vendors/bootstrap/dist/css/bootstrap.min.css
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\css\bootstrap.min.css
11:6:50	Request file: /css/toastr.css
11:6:50	ext: .CSS
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\css\toastr.css
11:6:50	ext: .CSS
11:6:50	Request file: /css/custom.css
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\css\custom.css
11:6:50	ext: .CSS
11:6:50	Request file: /vendors/jquery/dist/jquery.min.js
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\vendors\jquery\dist\jquery.min.js
11:6:50	ext: .JS
11:6:50	Request file: /vendors/bootstrap/dist/js/bootstrap.min.js
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap\dist\js\bootstrap.min.js
11:6:50	ext: .JS
11:6:50	Request file: /js/toastr.js
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\js\toastr.js
11:6:50	ext: .JS
11:6:50	Request file: /js/lib.js
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\js\lib.js
11:6:50	ext: .JS
11:6:50	Request file: /vendors/font-awesome/css/font-awesome.min.css
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\vendors\font-awesome\css\font-awesome.min.css
11:6:50	ext: .CSS
11:6:50	Request file: /img/logoGo.png
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\img\logoGo.png
11:6:50	ext: .PNG
11:6:50	Request file: /vendors/iCheck/skins/flat/green.css
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\vendors\iCheck\skins\flat\green.css
11:6:50	ext: .CSS
11:6:50	Request file: /vendors/bootstrap-progressbar/css/bootstrap-progressbar-3.3.4.min.css
11:6:50	filename: c:\projectes\Maoni\Maoni\protected\vendors\bootstrap-progressbar\css\bootstrap-progressbar-3.3.4.min.css
11:6:50	ext: .CSS
