13:16:53	INICIO maoni. Escuchando en el puerto: 5555
13:17:6	Request file: /
13:17:7	Request file: /jquery/jquery.min.js
13:17:7	Request file: /bootstrap/js/bootstrap.min.js
13:17:7	Request file: /js/toastr.js
13:17:7	Request file: /bootstrap/css/bootstrap.min.css
13:17:7	Request file: /js/sha256.js
13:17:7	Request file: /js/lib.js
13:17:7	Request file: /css/maoni.css
13:17:7	Request file: /css/signin.css
13:17:7	Request file: /css/animate.min.css
13:17:7	Request file: /css/toastr.css
13:17:23	Request file: /BBDD
13:17:23	login -> {"f":"login","user":"eparrilla","pwd":"6711597a2bc4e5878638c2115353f0792a9bec6ff55a84f283c4be5d897fe110"}
13:17:23	Request file: /@@MENU@@_page_000.html?SESSIONKEY=575518
13:17:23	Request file: /jquery/jquery.min.js
13:17:23	Request file: /bootstrap/js/bootstrap.min.js
13:17:23	Request file: /bootstrap/css/bootstrap.min.css
13:17:23	Request file: /js/lib.js
13:17:23	Request file: /css/maoni.css
13:17:23	Request file: /css/dashboard.css
13:17:23	Request file: /css/animate.min.css
13:17:23	Request file: /img/menuheader.png
